COOPID, YEAR, MONTH, DAY, precipitation
83470,2020,1,1,-99.99000
83470,2020,1,2,-99.99000
83470,2020,1,3,-99.99000
83470,2020,1,4,-99.99000
83470,2020,1,5,-99.99000
83470,2020,1,6,-99.99000
83470,2020,1,7,0.00000
83470,2020,1,8,-99.99000
83470,2020,1,9,0.00000
83470,2020,1,10,-99.99000
83470,2020,1,11,0.00000
83470,2020,1,12,0.00000
83470,2020,1,13,0.00000
83470,2020,1,14,0.00000
83470,2020,1,15,-99.99000
83470,2020,1,16,0.00000
83470,2020,1,17,-99.99000
83470,2020,1,18,0.00000
83470,2020,1,19,0.00000
83470,2020,1,20,0.04000
83470,2020,1,21,0.00000
83470,2020,1,22,0.00000
83470,2020,1,23,0.00000
83470,2020,1,24,-99.99000
83470,2020,1,25,-99.99000
83470,2020,1,26,0.00000
83470,2020,1,27,0.00000
83470,2020,1,28,0.00000
83470,2020,1,29,-99.99000
83470,2020,1,30,-99.99000
83470,2020,1,31,-99.99000
83470,2020,2,1,-99.99000
83470,2020,2,2,0.00000
83470,2020,2,3,0.00000
83470,2020,2,4,0.00000
83470,2020,2,5,-99.99000
83470,2020,2,6,0.00000
83470,2020,2,7,1.10000
83470,2020,2,8,0.00000
83470,2020,2,9,0.00000
83470,2020,2,10,0.00000
83470,2020,2,11,0.00000
83470,2020,2,12,-99.99000
83470,2020,2,13,-99.99000
83470,2020,2,14,-99.99000
83470,2020,2,15,0.05000
83470,2020,2,16,0.00000
83470,2020,2,17,-99.99000
83470,2020,2,18,0.06000
83470,2020,2,19,-99.99000
83470,2020,2,20,0.00000
83470,2020,2,21,-99.99000
83470,2020,2,22,0.00000
83470,2020,2,23,0.00000
83470,2020,2,24,0.00000
83470,2020,2,25,0.08000
83470,2020,2,26,-99.99000
83470,2020,2,27,-99.99000
83470,2020,2,28,-99.99000
83470,2020,2,29,-99.99000
83470,2020,3,1,0.00000
83470,2020,3,2,0.00000
83470,2020,3,3,0.00000
83470,2020,3,4,-99.99000
83470,2020,3,5,-99.99000
83470,2020,3,6,-99.99000
83470,2020,3,7,0.00000
83470,2020,3,8,0.00000
83470,2020,3,9,0.00000
83470,2020,3,10,-99.99000
83470,2020,3,11,0.00000
83470,2020,3,12,0.00000
83470,2020,3,13,0.00000
83470,2020,3,14,-99.99000
83470,2020,3,15,-99.99000
83470,2020,3,16,0.00000
83470,2020,3,17,-99.99000
83470,2020,3,18,0.00000
83470,2020,3,19,-99.99000
83470,2020,3,20,-99.99000
83470,2020,3,21,-99.99000
83470,2020,3,22,-99.99000
83470,2020,3,23,-99.99000
83470,2020,3,24,0.00000
83470,2020,3,25,0.00000
83470,2020,3,26,-99.99000
83470,2020,3,27,-99.99000
83470,2020,3,28,-99.99000
83470,2020,3,29,-99.99000
83470,2020,3,30,0.00000
83470,2020,3,31,0.00000
83470,2020,4,1,0.24000
83470,2020,4,2,0.00000
83470,2020,4,3,-99.99000
83470,2020,4,4,-99.99000
83470,2020,4,5,-99.99000
83470,2020,4,6,0.38000
83470,2020,4,7,-99.99000
83470,2020,4,8,0.00000
83470,2020,4,9,0.50000
83470,2020,4,10,-99.99000
83470,2020,4,11,-99.99000
83470,2020,4,12,-99.99000
83470,2020,4,13,0.03000
83470,2020,4,14,0.60000
83470,2020,4,15,0.70000
83470,2020,4,16,1.60000
83470,2020,4,17,0.00000
83470,2020,4,18,-99.99000
83470,2020,4,19,-99.99000
83470,2020,4,20,0.85000
83470,2020,4,21,0.00000
83470,2020,4,22,0.00000
83470,2020,4,23,-99.99000
83470,2020,4,24,1.43000
83470,2020,4,25,-99.99000
83470,2020,4,26,-99.99000
83470,2020,4,27,0.00000
83470,2020,4,28,0.00000
83470,2020,4,29,0.00000
83470,2020,4,30,0.95000
83470,2020,5,1,0.00000
83470,2020,5,2,-99.99000
83470,2020,5,3,-99.99000
83470,2020,5,4,0.00000
83470,2020,5,5,0.00000
83470,2020,5,6,-99.99000
83470,2020,5,7,0.00000
83470,2020,5,8,0.00000
83470,2020,5,9,-99.99000
83470,2020,5,10,-99.99000
83470,2020,5,11,0.00000
83470,2020,5,12,0.00000
83470,2020,5,13,0.00000
83470,2020,5,14,0.00000
83470,2020,5,15,0.00000
83470,2020,5,16,-99.99000
83470,2020,5,17,-99.99000
83470,2020,5,18,0.00000
83470,2020,5,19,0.00000
83470,2020,5,20,-99.99000
83470,2020,5,21,-99.99000
83470,2020,5,22,0.00000
83470,2020,5,23,0.19000
83470,2020,5,24,1.37000
83470,2020,5,25,0.00000
83470,2020,5,26,0.20000
83470,2020,5,27,0.25000
83470,2020,5,28,0.37000
83470,2020,5,29,-99.99000
83470,2020,5,30,-99.99000
83470,2020,5,31,0.00000
83470,2020,6,1,0.00000
83470,2020,6,2,0.02000
83470,2020,6,3,0.00000
83470,2020,6,4,0.62000
83470,2020,6,5,0.00000
83470,2020,6,6,0.02000
83470,2020,6,7,2.90000
83470,2020,6,8,2.91000
83470,2020,6,9,0.13000
83470,2020,6,10,0.05000
83470,2020,6,11,0.72000
83470,2020,6,12,0.62000
83470,2020,6,13,1.69000
83470,2020,6,14,0.00000
83470,2020,6,15,0.00000
83470,2020,6,16,0.00000
83470,2020,6,17,0.00000
83470,2020,6,18,0.00000
83470,2020,6,19,0.00000
83470,2020,6,20,0.05000
83470,2020,6,21,0.00000
83470,2020,6,22,0.00000
83470,2020,6,23,0.00000
83470,2020,6,24,0.05000
83470,2020,6,25,0.00000
83470,2020,6,26,0.00000
83470,2020,6,27,0.00000
83470,2020,6,28,1.22000
83470,2020,6,29,0.00000
83470,2020,6,30,0.00000
83470,2020,7,1,0.60000
83470,2020,7,2,0.65000
83470,2020,7,3,0.00000
83470,2020,7,4,3.35000
83470,2020,7,5,0.07000
83470,2020,7,6,0.10000
83470,2020,7,7,0.26000
83470,2020,7,8,0.69000
83470,2020,7,9,0.25000
83470,2020,7,10,0.14000
83470,2020,7,11,0.00000
83470,2020,7,12,0.00000
83470,2020,7,13,0.00000
83470,2020,7,14,-99.99000
83470,2020,7,15,0.00000
83470,2020,7,16,0.05000
83470,2020,7,17,0.00000
83470,2020,7,18,-99.99000
83470,2020,7,19,0.75000
83470,2020,7,20,0.00000
83470,2020,7,21,0.00000
83470,2020,7,22,0.10000
83470,2020,7,23,0.20000
83470,2020,7,24,-99.99000
83470,2020,7,25,0.00000
83470,2020,7,26,-99.99000
83470,2020,7,27,0.00000
83470,2020,7,28,0.00000
83470,2020,7,29,-99.99000
83470,2020,7,30,0.15000
83470,2020,7,31,1.80000
83470,2020,8,1,-99.99000
83470,2020,8,2,-99.99000
83470,2020,8,3,0.05000
83470,2020,8,4,0.00000
83470,2020,8,5,0.00000
83470,2020,8,6,0.00000
83470,2020,8,7,0.80000
83470,2020,8,8,0.33000
83470,2020,8,9,0.00000
83470,2020,8,10,1.30000
83470,2020,8,11,0.25000
83470,2020,8,12,0.43000
83470,2020,8,13,0.53000
83470,2020,8,14,-99.99000
83470,2020,8,15,-99.99000
83470,2020,8,16,0.22000
83470,2020,8,17,0.21000
83470,2020,8,18,0.00000
83470,2020,8,19,-99.99000
83470,2020,8,20,0.00000
83470,2020,8,21,1.15000
83470,2020,8,22,-99.99000
83470,2020,8,23,-99.99000
83470,2020,8,24,0.15000
83470,2020,8,25,0.12000
83470,2020,8,26,-99.99000
83470,2020,8,27,0.00000
83470,2020,8,28,0.01000
83470,2020,8,29,-99.99000
83470,2020,8,30,-99.99000
83470,2020,8,31,0.36000
83470,2020,9,1,1.20000
83470,2020,9,2,0.00000
83470,2020,9,3,0.00000
83470,2020,9,4,-99.99000
83470,2020,9,5,0.00000
83470,2020,9,6,0.00000
83470,2020,9,7,-99.99000
83470,2020,9,8,-99.99000
83470,2020,9,9,-99.99000
83470,2020,9,10,-99.99000
83470,2020,9,11,-99.99000
83470,2020,9,12,0.08000
83470,2020,9,13,0.41000
83470,2020,9,14,-99.99000
83470,2020,9,15,-99.99000
83470,2020,9,16,-99.99000
83470,2020,9,17,-99.99000
83470,2020,9,18,0.71000
83470,2020,9,19,-99.99000
83470,2020,9,20,-99.99000
83470,2020,9,21,-99.99000
83470,2020,9,22,-99.99000
83470,2020,9,23,0.00000
83470,2020,9,24,-99.99000
83470,2020,9,25,-99.99000
83470,2020,9,26,-99.99000
83470,2020,9,27,-99.99000
83470,2020,9,28,-99.99000
83470,2020,9,29,0.20000
83470,2020,9,30,0.75000
83470,2020,10,1,-99.99000
83470,2020,10,2,0.00000
83470,2020,10,3,0.00000
83470,2020,10,4,0.00000
83470,2020,10,5,0.35000
83470,2020,10,6,0.09000
83470,2020,10,7,0.00000
83470,2020,10,8,0.00000
83470,2020,10,9,0.00000
83470,2020,10,10,0.05000
83470,2020,10,11,0.36000
83470,2020,10,12,-99.99000
83470,2020,10,13,-99.99000
83470,2020,10,14,0.00000
83470,2020,10,15,0.00000
83470,2020,10,16,0.00000
83470,2020,10,17,-99.99000
83470,2020,10,18,-99.99000
83470,2020,10,19,-99.99000
83470,2020,10,20,0.00000
83470,2020,10,21,0.16000
83470,2020,10,22,0.29000
83470,2020,10,23,1.03000
83470,2020,10,24,-99.99000
83470,2020,10,25,-99.99000
83470,2020,10,26,-99.99000
83470,2020,10,27,0.00000
83470,2020,10,28,-99.99000
83470,2020,10,29,0.00000
83470,2020,10,30,-99.99000
83470,2020,10,31,-99.99000
83470,2020,11,1,-99.99000
83470,2020,11,2,0.41000
83470,2020,11,3,0.00000
83470,2020,11,4,0.00000
83470,2020,11,5,0.03000
83470,2020,11,6,0.05000
83470,2020,11,7,-99.99000
83470,2020,11,8,-99.99000
83470,2020,11,9,0.63000
83470,2020,11,10,0.87000
83470,2020,11,11,-99.99000
83470,2020,11,12,0.24000
83470,2020,11,13,0.05000
83470,2020,11,14,-99.99000
83470,2020,11,15,-99.99000
83470,2020,11,16,0.42000
83470,2020,11,17,0.00000
83470,2020,11,18,-99.99000
83470,2020,11,19,0.00000
83470,2020,11,20,0.00000
83470,2020,11,21,-99.99000
83470,2020,11,22,-99.99000
83470,2020,11,23,-99.99000
83470,2020,11,24,0.00000
83470,2020,11,25,0.00000
83470,2020,11,26,-99.99000
83470,2020,11,27,0.00000
83470,2020,11,28,-99.99000
83470,2020,11,29,0.08000
83470,2020,11,30,0.10000
83470,2020,12,1,-99.99000
83470,2020,12,2,-99.99000
83470,2020,12,3,0.00000
83470,2020,12,4,0.00000
83470,2020,12,5,-99.99000
83470,2020,12,6,-99.99000
83470,2020,12,7,0.13000
83470,2020,12,8,0.00000
83470,2020,12,9,0.00000
83470,2020,12,10,0.00000
83470,2020,12,11,0.00000
83470,2020,12,12,-99.99000
83470,2020,12,13,-99.99000
83470,2020,12,14,0.05000
83470,2020,12,15,0.00000
83470,2020,12,16,0.00000
83470,2020,12,17,-99.99000
83470,2020,12,18,-99.99000
83470,2020,12,19,-99.99000
83470,2020,12,20,-99.99000
83470,2020,12,21,0.21000
83470,2020,12,22,0.00000
83470,2020,12,23,0.00000
83470,2020,12,24,0.00000
83470,2020,12,25,-99.99000
83470,2020,12,26,-99.99000
83470,2020,12,27,0.00000
83470,2020,12,28,0.00000
83470,2020,12,29,0.00000
83470,2020,12,30,0.00000
83470,2020,12,31,-99.99000
83470,2021,1,1,0.00000
83470,2021,1,2,0.00000
83470,2021,1,3,-99.99000
83470,2021,1,4,0.00000
83470,2021,1,5,0.00000
83470,2021,1,6,0.00000
83470,2021,1,7,0.00000
83470,2021,1,8,0.20000
83470,2021,1,9,0.00000
83470,2021,1,10,0.00000
83470,2021,1,11,0.00000
83470,2021,1,12,0.00000
83470,2021,1,13,0.00000
83470,2021,1,14,-99.99000
83470,2021,1,15,-99.99000
83470,2021,1,16,-99.99000
83470,2021,1,17,-99.99000
83470,2021,1,18,-99.99000
83470,2021,1,19,0.00000
83470,2021,1,20,0.00000
83470,2021,1,21,0.00000
83470,2021,1,22,0.10000
83470,2021,1,23,-99.99000
83470,2021,1,24,-99.99000
83470,2021,1,25,-99.99000
83470,2021,1,26,0.00000
83470,2021,1,27,0.00000
83470,2021,1,28,1.20000
83470,2021,1,29,0.00000
83470,2021,1,30,0.00000
83470,2021,1,31,0.00000
83470,2021,2,1,0.30000
83470,2021,2,2,0.00000
83470,2021,2,3,0.00000
83470,2021,2,4,0.00000
83470,2021,2,5,0.00000
83470,2021,2,6,-99.99000
83470,2021,2,7,-99.99000
83470,2021,2,8,0.00000
83470,2021,2,9,0.01000
83470,2021,2,10,1.40000
83470,2021,2,11,0.01000
83470,2021,2,12,0.00000
83470,2021,2,13,-99.99000
83470,2021,2,14,-99.99000
83470,2021,2,15,0.85000
83470,2021,2,16,0.25000
83470,2021,2,17,0.00000
83470,2021,2,18,0.00000
83470,2021,2,19,1.20000
83470,2021,2,20,0.05000
83470,2021,2,21,0.00000
83470,2021,2,22,0.00000
83470,2021,2,23,-99.99000
83470,2021,2,24,0.00000
83470,2021,2,25,0.00000
83470,2021,2,26,0.00000
83470,2021,2,27,0.00000
83470,2021,2,28,0.00000
83470,2021,3,1,0.07000
83470,2021,3,2,0.14000
83470,2021,3,3,1.30000
83470,2021,3,4,0.00000
83470,2021,3,5,0.00000
83470,2021,3,6,0.00000
83470,2021,3,7,-99.99000
83470,2021,3,8,0.00000
83470,2021,3,9,0.00000
83470,2021,3,10,0.00000
83470,2021,3,11,0.00000
83470,2021,3,12,0.00000
83470,2021,3,13,0.00000
83470,2021,3,14,-99.99000
83470,2021,3,15,0.00000
83470,2021,3,16,0.00000
83470,2021,3,17,0.00000
83470,2021,3,18,-99.99000
83470,2021,3,19,0.35000
83470,2021,3,20,0.00000
83470,2021,3,21,0.15000
83470,2021,3,22,0.13000
83470,2021,3,23,0.00000
83470,2021,3,24,0.00000
83470,2021,3,25,0.00000
83470,2021,3,26,-99.99000
83470,2021,3,27,0.00000
83470,2021,3,28,0.00000
83470,2021,3,29,0.00000
83470,2021,3,30,0.07000
83470,2021,3,31,0.25000
83470,2021,4,1,0.02000
83470,2021,4,2,-99.99000
83470,2021,4,3,0.00000
83470,2021,4,4,-99.99000
83470,2021,4,5,0.00000
83470,2021,4,6,0.00000
83470,2021,4,7,0.00000
83470,2021,4,8,0.00000
83470,2021,4,9,0.00000
83470,2021,4,10,0.00000
83470,2021,4,11,1.25000
83470,2021,4,12,0.75000
83470,2021,4,13,0.00000
83470,2021,4,14,0.00000
83470,2021,4,15,0.00000
83470,2021,4,16,0.01000
83470,2021,4,17,0.55000
83470,2021,4,18,0.61000
83470,2021,4,19,1.10000
83470,2021,4,20,0.00000
83470,2021,4,21,0.00000
83470,2021,4,22,0.00000
83470,2021,4,23,0.00000
83470,2021,4,24,0.00000
83470,2021,4,25,0.20000
83470,2021,4,26,0.00000
83470,2021,4,27,0.00000
83470,2021,4,28,0.00000
83470,2021,4,29,0.00000
83470,2021,4,30,-99.99000
83470,2021,5,1,0.00000
83470,2021,5,2,0.00000
83470,2021,5,3,0.80000
83470,2021,5,4,0.00000
83470,2021,5,5,0.00000
83470,2021,5,6,0.00000
83470,2021,5,7,0.20000
83470,2021,5,8,0.00000
83470,2021,5,9,0.00000
83470,2021,5,10,0.00000
83470,2021,5,11,0.00000
83470,2021,5,12,0.25000
83470,2021,5,13,0.33000
83470,2021,5,14,0.16000
83470,2021,5,15,0.00000
83470,2021,5,16,0.00000
83470,2021,5,17,0.00000
83470,2021,5,18,0.00000
83470,2021,5,19,0.10000
83470,2021,5,20,0.00000
83470,2021,5,21,0.00000
83470,2021,5,22,0.01000
83470,2021,5,23,0.00000
83470,2021,5,24,0.00000
83470,2021,5,25,0.00000
83470,2021,5,26,0.00000
83470,2021,5,27,0.00000
83470,2021,5,28,0.00000
83470,2021,5,29,0.00000
83470,2021,5,30,0.00000
83470,2021,5,31,0.00000
83470,2021,6,1,0.00000
83470,2021,6,2,0.00000
83470,2021,6,3,0.02000
83470,2021,6,4,0.10000
83470,2021,6,5,0.00000
83470,2021,6,6,0.20000
83470,2021,6,7,0.10000
83470,2021,6,8,0.20000
83470,2021,6,9,-99.99000
83470,2021,6,10,-99.99000
83470,2021,6,11,0.00000
83470,2021,6,12,0.00000
83470,2021,6,13,0.06000
83470,2021,6,14,-99.99000
83470,2021,6,15,0.10000
83470,2021,6,16,0.10000
83470,2021,6,17,0.00000
83470,2021,6,18,0.45000
83470,2021,6,19,0.00000
83470,2021,6,20,0.05000
83470,2021,6,21,0.65000
83470,2021,6,22,1.00000
83470,2021,6,23,-99.99000
83470,2021,6,24,0.35000
83470,2021,6,25,1.23000
83470,2021,6,26,0.12000
83470,2021,6,27,-99.99000
83470,2021,6,28,0.00000
83470,2021,6,29,0.30000
83470,2021,6,30,0.10000
83470,2021,7,1,-99.99000
83470,2021,7,2,0.90000
83470,2021,7,3,1.30000
83470,2021,7,4,0.05000
83470,2021,7,5,0.02000
83470,2021,7,6,0.18000
83470,2021,7,7,0.35000
83470,2021,7,8,-99.99000
83470,2021,7,9,0.00000
83470,2021,7,10,0.05000
83470,2021,7,11,0.00000
83470,2021,7,12,0.05000
83470,2021,7,13,0.00000
83470,2021,7,14,0.00000
83470,2021,7,15,0.00000
83470,2021,7,16,0.00000
83470,2021,7,17,0.00000
83470,2021,7,18,-99.99000
83470,2021,7,19,0.35000
83470,2021,7,20,0.05000
83470,2021,7,21,0.15000
83470,2021,7,22,-99.99000
83470,2021,7,23,0.90000
83470,2021,7,24,1.05000
83470,2021,7,25,-99.99000
83470,2021,7,26,0.05000
83470,2021,7,27,0.25000
83470,2021,7,28,2.23000
83470,2021,7,29,-99.99000
83470,2021,7,30,0.46000
83470,2021,7,31,0.00000
83470,2021,8,1,0.00000
83470,2021,8,2,0.41000
83470,2021,8,3,0.75000
83470,2021,8,4,0.52000
83470,2021,8,5,0.75000
83470,2021,8,6,0.20000
83470,2021,8,7,0.09000
83470,2021,8,8,0.74000
83470,2021,8,9,0.00000
83470,2021,8,10,0.05000
83470,2021,8,11,0.20000
83470,2021,8,12,0.00000
83470,2021,8,13,0.00000
83470,2021,8,14,0.58000
83470,2021,8,15,0.08000
83470,2021,8,16,0.00000
83470,2021,8,17,0.00000
83470,2021,8,18,0.10000
83470,2021,8,19,0.00000
83470,2021,8,20,1.90000
83470,2021,8,21,0.48000
83470,2021,8,22,0.00000
83470,2021,8,23,0.10000
83470,2021,8,24,0.05000
83470,2021,8,25,0.20000
83470,2021,8,26,-99.99000
83470,2021,8,27,0.45000
83470,2021,8,28,0.15000
83470,2021,8,29,0.00000
83470,2021,8,30,0.00000
83470,2021,8,31,0.00000
83470,2021,9,1,0.28000
83470,2021,9,2,0.30000
83470,2021,9,3,0.58000
83470,2021,9,4,-99.99000
83470,2021,9,5,0.00000
83470,2021,9,6,0.00000
83470,2021,9,7,0.00000
83470,2021,9,8,0.00000
83470,2021,9,9,0.15000
83470,2021,9,10,0.00000
83470,2021,9,11,-99.99000
83470,2021,9,12,0.00000
83470,2021,9,13,0.00000
83470,2021,9,14,0.00000
83470,2021,9,15,1.10000
83470,2021,9,16,0.02000
83470,2021,9,17,1.90000
83470,2021,9,18,0.02000
83470,2021,9,19,0.15000
83470,2021,9,20,1.00000
83470,2021,9,21,0.00000
83470,2021,9,22,0.20000
83470,2021,9,23,0.00000
83470,2021,9,24,0.00000
83470,2021,9,25,-99.99000
83470,2021,9,26,0.00000
83470,2021,9,27,0.00000
83470,2021,9,28,0.00000
83470,2021,9,29,0.00000
83470,2021,9,30,0.00000
83470,2021,10,1,0.00000
83470,2021,10,2,0.00000
83470,2021,10,3,-99.99000
83470,2021,10,4,0.00000
83470,2021,10,5,0.00000
83470,2021,10,6,0.00000
83470,2021,10,7,0.10000
83470,2021,10,8,0.00000
83470,2021,10,9,0.21000
83470,2021,10,10,0.00000
83470,2021,10,11,0.00000
83470,2021,10,12,0.00000
83470,2021,10,13,0.00000
83470,2021,10,14,0.00000
83470,2021,10,15,0.00000
83470,2021,10,16,0.00000
83470,2021,10,17,0.05000
83470,2021,10,18,0.00000
83470,2021,10,19,-99.99000
83470,2021,10,20,0.00000
83470,2021,10,21,0.00000
83470,2021,10,22,-99.99000
83470,2021,10,23,0.00000
83470,2021,10,24,0.00000
83470,2021,10,25,0.32000
83470,2021,10,26,0.08000
83470,2021,10,27,0.00000
83470,2021,10,28,0.30000
83470,2021,10,29,1.25000
83470,2021,10,30,0.00000
83470,2021,10,31,0.00000
83470,2021,11,1,-99.99000
83470,2021,11,2,0.00000
83470,2021,11,3,-99.99000
83470,2021,11,4,0.00000
83470,2021,11,5,0.10000
83470,2021,11,6,-99.99000
83470,2021,11,7,1.10000
83470,2021,11,8,0.00000
83470,2021,11,9,0.00000
83470,2021,11,10,0.00000
83470,2021,11,11,0.00000
83470,2021,11,12,0.00000
83470,2021,11,13,0.00000
83470,2021,11,14,0.00000
